event_type,period,timestamp,possession_team,player,outcome,start_location_x,start_location_y
pass,1,00:14:56.740,Brazil,Neymar da Silva Santos Junior,Complete,109.0,20.0
pass,1,00:14:59.220,Brazil,Marcelo Vieira da Silva Júnior,Incomplete,99.0,14.0
pass,1,00:15:06.620,Brazil,Marcelo Vieira da Silva Júnior,Complete,106.0,1.0
pass,1,00:15:07.433,Brazil,Neymar da Silva Santos Junior,Complete,99.0,6.0
pass,1,00:15:10.180,Brazil,Marcelo Vieira da Silva Júnior,Complete,105.0,2.0
pass,1,00:15:15.340,Brazil,Philippe Coutinho Correia,Complete,89.0,11.0
pass,1,00:15:19.100,Brazil,Fernando Luiz Rosa,Complete,87.0,36.0
pass,1,00:15:23.980,Brazil,Willian Borges da Silva,Complete,96.0,48.0
pass,1,00:15:26.460,Brazil,José Paulo Bezzera Maciel Júnior,Complete,86.0,54.0
pass,1,00:15:28.220,Brazil,Fernando Luiz Rosa,Complete,72.0,45.0
pass,1,00:15:29.740,Brazil,Thiago Emiliano da Silva,Complete,66.0,41.0
pass,1,00:15:33.740,Brazil,Marcelo Vieira da Silva Júnior,Incomplete,89.0,13.0
pass,1,00:15:41.113,Brazil,João Miranda de Souza Filho,Complete,51.0,11.0
pass,1,00:15:42.980,Brazil,Thiago Emiliano da Silva,Complete,46.0,26.0
pass,1,00:15:46.300,Brazil,Marcelo Vieira da Silva Júnior,Complete,63.0,4.0
pass,1,00:15:52.660,Brazil,Philippe Coutinho Correia,Complete,67.0,34.0
pass,1,00:15:54.940,Brazil,Fernando Luiz Rosa,Complete,55.0,36.0
pass,1,00:15:57.260,Brazil,Fágner Conserva Lemos,Complete,47.0,55.0
pass,1,00:15:59.420,Belgium,Jan Vertonghen,Incomplete,53.0,3.0
pass,1,00:16:13.340,Belgium,Jan Vertonghen,Complete,54.0,1.0
pass,1,00:16:15.940,Belgium,Vincent Kompany,Complete,25.0,7.0
pass,1,00:16:19.940,Belgium,Thibaut Courtois,Complete,13.0,45.0
pass,1,00:16:22.860,Belgium,Toby Alderweireld,Complete,12.0,51.0
pass,1,00:16:26.260,Belgium,Thomas Meunier,Complete,48.0,77.0
pass,1,00:16:29.020,Belgium,Marouane Fellaini-Bakkioui,Complete,42.0,71.0
pass,1,00:16:31.820,Belgium,Axel Witsel,Complete,41.0,55.0
pass,1,00:16:32.820,Belgium,Marouane Fellaini-Bakkioui,Complete,37.0,64.0
pass,1,00:16:45.140,Brazil,Fágner Conserva Lemos,Complete,68.0,80.0
pass,1,00:16:49.060,Brazil,Thiago Emiliano da Silva,Complete,51.0,68.0
pass,1,00:16:52.060,Brazil,João Miranda de Souza Filho,Complete,48.0,43.0
pass,1,00:16:55.340,Brazil,Marcelo Vieira da Silva Júnior,Complete,68.0,4.0
pass,1,00:17:03.300,Brazil,Neymar da Silva Santos Junior,Incomplete,86.0,24.0
pass,1,00:17:05.980,Belgium,Kevin De Bruyne,Complete,45.0,60.0
pass,1,00:17:10.820,Belgium,Romelu Lukaku Menama,Complete,71.0,63.0
pass,1,00:17:16.740,Belgium,Nacer Chadli,Incomplete,98.0,19.0
pass,1,00:17:25.460,Brazil,Marcelo Vieira da Silva Júnior,Complete,14.0,3.0
pass,1,00:17:34.740,Brazil,Philippe Coutinho Correia,Incomplete,54.0,44.0
pass,1,00:17:38.820,Belgium,Thibaut Courtois,Complete,16.0,30.0
pass,1,00:17:40.460,Belgium,Vincent Kompany,Complete,24.0,34.0
pass,1,00:17:44.420,Belgium,Axel Witsel,Complete,45.0,51.0
pass,1,00:17:45.020,Belgium,Marouane Fellaini-Bakkioui,Complete,54.0,49.0
pass,1,00:17:46.593,Belgium,Vincent Kompany,Complete,36.0,33.0
pass,1,00:17:48.780,Belgium,Toby Alderweireld,Complete,33.0,59.0
pass,1,00:17:52.500,Belgium,Thomas Meunier,Incomplete,54.0,76.0
pass,1,00:18:07.860,Belgium,Thomas Meunier,Complete,64.0,80.0
pass,1,00:18:11.460,Belgium,Marouane Fellaini-Bakkioui,Incomplete,85.0,68.0
pass,1,00:18:18.940,Brazil,Fernando Luiz Rosa,Complete,38.0,24.0
pass,1,00:18:21.220,Brazil,João Miranda de Souza Filho,Complete,37.0,19.0
pass,1,00:18:23.060,Brazil,Marcelo Vieira da Silva Júnior,Complete,46.0,4.0
pass,1,00:18:27.580,Brazil,Philippe Coutinho Correia,Complete,79.0,7.0
pass,1,00:18:37.060,Brazil,Thomas Meunier,Incomplete,9.0,76.0
pass,1,00:18:40.380,Brazil,Philippe Coutinho Correia,Complete,95.0,3.0
pass,1,00:18:41.620,Brazil,Marcelo Vieira da Silva Júnior,Complete,93.0,16.0
pass,1,00:18:43.540,Brazil,Neymar da Silva Santos Junior,Complete,99.0,12.0
pass,1,00:18:45.940,Brazil,Philippe Coutinho Correia,Complete,91.0,19.0
pass,1,00:18:49.580,Brazil,Fernando Luiz Rosa,Complete,86.0,30.0
pass,1,00:19:07.153,Belgium,Thibaut Courtois,Complete,7.0,34.0
pass,1,00:19:09.913,Belgium,Jan Vertonghen,Complete,8.0,16.0
pass,1,00:19:11.700,Belgium,Thibaut Courtois,Complete,3.0,28.0
pass,1,00:19:18.980,Belgium,Eden Hazard,Complete,66.0,6.0
pass,1,00:19:20.700,Belgium,Nacer Chadli,Complete,56.0,4.0
pass,1,00:19:22.140,Belgium,Jan Vertonghen,Complete,43.0,15.0
pass,1,00:19:41.500,Belgium,Axel Witsel,Complete,66.0,25.0
pass,1,00:19:44.460,Belgium,Eden Hazard,Complete,73.0,28.0
pass,1,00:19:46.633,Brazil,Philippe Coutinho Correia,Complete,35.0,40.0
